Domain,Type,Priority,Action,Title,Contact Form,Emails,Opportunities,Notes
id.news.yahoo.com,publication,high,"Pitch guest post","Yahoo Search - Pencarian Web",Yes,"","partnership","Title: Yahoo Search - Pencarian Web, Contact form: Yes"
vietnamnews.vn,publication,high,"Pitch guest post","Vietnam News | Politics, Business, Economy, Society, Life, Sports - VietNam News",Yes,"vnnews@vnagency.com.vn","guest_posting, partnership","Title: Vietnam News | Politics, Business, Economy, Society, Life, Sports - VietNam News, Contact form: Yes"
vnexpress.net,publication,high,"Pitch guest post","Báo VnExpress - Báo tiếng Việt nhiều người xem nhất",Yes,"","","Title: Báo VnExpress - Báo tiếng Việt nhiều người xem nhất, Contact form: Yes"
tuoitrenews.vn,publication,high,"Pitch guest post","Tuoi Tre News | The News Gateway to Vietnam",Yes,"tto@tuoitre.com.vn","partnership","Title: Tuoi Tre News | The News Gateway to Vietnam, Contact form: Yes"
thanhnien.vn,publication,high,"Pitch guest post","Tin tức 24h mới nhất, tin nhanh, tin nóng hàng ngày | Báo Thanh Niên",Yes,"toasoan@thanhnien.vn","","Title: Tin tức 24h mới nhất, tin nhanh, tin nóng hàng ngày | Báo Thanh Niên, Contact form: Yes"
vn.news.yahoo.com,publication,high,"Pitch guest post","Yahoo Tìm Kiếm - Tìm Kiếm Web",Yes,"","partnership","Title: Yahoo Tìm Kiếm - Tìm Kiếm Web, Contact form: Yes"
inquirer.net,publication,high,"Pitch guest post","INQUIRER.net | Philippine news for Filipinos",Yes,"","guest_posting, partnership","Title: INQUIRER.net | Philippine news for Filipinos, Contact form: Yes"
gmanetwork.com,publication,high,"Pitch guest post","GMA Network | News and Entertainment",Yes,"youremail@email.com","guest_posting, partnership","Title: GMA Network | News and Entertainment, Contact form: Yes"
philstar.com,publication,high,"Pitch guest post","Philstar.com | Latest Philippine news and multimedia",Yes,"","guest_posting, partnership","Title: Philstar.com | Latest Philippine news and multimedia, Contact form: Yes"
ph.news.yahoo.com,publication,high,"Pitch guest post","Latest news and current events updates | Yahoo News Singapore",Yes,"","resource_page, guest_posting, partnership","Title: Latest news and current events updates | Yahoo News Singapore, Contact form: Yes"
techinasia.com,publication,high,"Pitch guest post","Tech in Asia - Connecting Asia's startup ecosystem",Yes,"","guest_posting","Title: Tech in Asia - Connecting Asia's startup ecosystem, Contact form: Yes"
hardwarezone.com.sg,tech_blog,medium,"Pitch guest post or collaboration","Technology News, Products &amp; Gadgets Reviews, Latest Tech Updates | HardwareZone Singapore",Yes,"","resource_page, guest_posting, partnership","Title: Technology News, Products &amp; Gadgets Reviews, Latest Tech Updates | HardwareZone Singapore, Contact form: Yes"
soyacincau.com,tech_blog,medium,"Pitch guest post or collaboration","SoyaCincau",Yes,"","guest_posting","Title: SoyaCincau, Contact form: Yes"
techgoondu.com,tech_blog,medium,"Pitch guest post or collaboration","Home - Techgoondu",Yes,"contact@techgoondu.com, GLT-EVP-APAC-Wendy-Johnstone@2x-1-420x280.png, GLT-EVP-APAC-Wendy-Johnstone@2x-1.png, GLT-EVP-APAC-Wendy-Johnstone@2x-1-600x684.png","resource_page, guest_posting, partnership","Title: Home - Techgoondu, Contact form: Yes"
lowyat.net,tech_blog,medium,"Pitch guest post or collaboration","Lowyat.NET | Technology News Malaysia",Yes,"logo-desktop-25@2x-1.png, logo-sticky-25@2x.png, logo-mobile-25@2x.png","partnership","Title: Lowyat.NET | Technology News Malaysia, Contact form: Yes"
soyacincau.com,tech_blog,medium,"Pitch guest post or collaboration","SoyaCincau",Yes,"","guest_posting","Title: SoyaCincau, Contact form: Yes"
vnexpress.net,tech_blog,medium,"Pitch guest post or collaboration","Báo VnExpress - Báo tiếng Việt nhiều người xem nhất",Yes,"","","Title: Báo VnExpress - Báo tiếng Việt nhiều người xem nhất, Contact form: Yes"
gmanetwork.com,tech_blog,medium,"Pitch guest post or collaboration","GMA Network | News and Entertainment",Yes,"youremail@email.com","guest_posting, partnership","Title: GMA Network | News and Entertainment, Contact form: Yes"
techinasia.com,tech_blog,medium,"Pitch guest post or collaboration","Tech in Asia - Connecting Asia's startup ecosystem",Yes,"","guest_posting","Title: Tech in Asia - Connecting Asia's startup ecosystem, Contact form: Yes"
